x: 10, y: 0.000531003 seconds
x: 20, y: 0.0052048 seconds
x: 30, y: 0.00706243 seconds
x: 40, y: 0.00492647 seconds
x: 50, y: 0.0080468 seconds
x: 100, y: 0.0269129 seconds
x: 200, y: 0.162163 seconds
x: 300, y: 0.273578 seconds
x: 400, y: 0.508508 seconds
x: 500, y: 0.822282 seconds
x: 600, y: 1.20469 seconds
x: 700, y: 1.08346 seconds
x: 800, y: 2.31589 seconds
x: 900, y: 3.60624 seconds
x: 1000, y: 4.28735 seconds
x: 1500, y: 7.4915 seconds
x: 2000, y: 15.8671 seconds
x: 2500, y: 47.5498 seconds
x: 3000, y: 56.7033 seconds
